CONUM,CONAME,MARGIN,NTK,LOG(MAR),LOG(NTK),MNM,LOG(MNM),AMMKMNKZ,LOG(AMM),WINPARTY,TYPE1,TYPE2,TYPE3,RECTPOS,FLAG,,,,,,,,,,
424,Kadayanallur,24349,10136,4.39,4.01,1778,3.25,34216,4.53,ADMK,NTK,MNM,AMMKMNKZ,2168,,,,,,,,,,,
427,Aravakurichi,24816,7188,4.39,3.86,1382,3.14,1599,3.2,DMK,NTK,MNM,AMMKMNKZ,2183,,,,,,,,,,,
430,Colachel,24832,18202,4.4,4.26,2127,3.33,0,4.4,INC,NTK,MNM,AMMKMNKZ,2198,,,,,,,,,,,
433,Tiruchendur,25263,15063,4.4,4.18,1965,3.29,3766,3.58,DMK,NTK,MNM,AMMKMNKZ,2213,,,,,,,,,,,
436,Pattukkottai,25269,10730,4.4,4.03,3088,3.49,5223,3.72,DMK,NTK,MNM,AMMKMNKZ,2228,,,,,,,,,,,
439,Alangudi,25847,15477,4.41,4.19,1230,3.09,2924,3.47,DMK,NTK,MNM,AMMKMNKZ,2243,,,,,,,,,,,
442,Kallakurichi,25891,16474,4.41,4.22,0,4.41,0,4.41,ADMK,NTK,MNM,AMMKMNKZ,2258,,,,,,,,,,,
445,Yercaud,25955,13308,4.41,4.12,0,4.41,0,4.41,ADMK,NTK,MNM,AMMKMNKZ,2273,,,,,,,,,,,
448,Chengalpattu,26665,26868,4.43,4.43,0,4.43,3069,3.49,DMK,NTK,MNM,AMMKMNKZ,2288,,,,,,,,,,,
451,Sholingur,26698,9656,4.43,3.98,0,4.43,12979,4.11,INC,NTK,MNM,AMMKMNKZ,2303,,,,,,,,,,,
454,Kilpennathur,26787,11541,4.43,4.06,1437,3.16,2191,3.34,DMK,NTK,MNM,AMMKMNKZ,2318,,,,,,,,,,,
457,Musiri,26836,14311,4.43,4.16,2499,3.4,0,4.43,DMK,NTK,MNM,AMMKMNKZ,2333,,,,,,,,,,,
460,Dharmapuri,26860,8700,4.43,3.94,5083,3.71,11226,4.05,PMK,NTK,MNM,AMMKMNKZ,2348,,,,,,,,,,,
463,Padmanabhapuram,26885,13899,4.43,4.14,981,2.99,3234,3.51,DMK,NTK,MNM,AMMKMNKZ,2363,,,,,,,,,,,
466,Arakkonam,27169,14631,4.43,4.17,3543,3.55,4777,3.68,ADMK,NTK,MNM,AMMKMNKZ,2378,,,,,,,,,,,
469,Harbour,27274,3357,4.44,3.53,3763,3.58,775,2.89,DMK,NTK,MNM,AMMKMNKZ,2393,,,,,,,,,,,
472,Anna Nagar,27445,10406,4.44,4.02,17522,4.24,1169,3.07,DMK,NTK,MNM,AMMKMNKZ,2408,,,,,,,,,,,
475,Nilakkottai,27618,17509,4.44,4.24,3181,3.5,0,4.44,ADMK,NTK,MNM,AMMKMNKZ,2423,,,,,,,,,,,
478,Royapuram,27779,7953,4.44,3.9,8166,3.91,1128,3.05,DMK,NTK,MNM,AMMKMNKZ,2438,,,,,,,,,,,
481,Namakkal,27861,10122,4.44,4.01,5589,3.75,0,4.44,DMK,NTK,MNM,AMMKMNKZ,2453,,,,,,,,,,,
484,Palacode,28100,7704,4.45,3.89,1176,3.07,0,4.45,ADMK,NTK,MNM,AMMKMNKZ,2468,,,,,,,,,,,
487,Tirupattur,28240,12127,4.45,4.08,0,4.45,2702,3.43,DMK,NTK,MNM,AMMKMNKZ,2483,,,,,,,,,,,
490,Uthangarai,28387,10424,4.45,4.02,1254,3.1,0,4.45,ADMK,NTK,MNM,AMMKMNKZ,2498,,,,,,,,,,,
493,Gobichettipalayam,28563,11719,4.46,4.07,4291,3.63,2682,3.43,ADMK,NTK,MNM,AMMKMNKZ,2513,,,,,,,,,,,
